index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,decade
1271,tm233377,The Edge of Seventeen,MOVIE,2016,R,104,drama,['US'],1.0,tt1878870,7.3,120488.0,2010
1272,ts42014,60 Days In,SHOW,2016,TV-14,46,reality,['US'],6.0,tt10112398,7.6,2616.0,2010
1273,tm193769,Steve Jobs,MOVIE,2015,R,122,drama,"['GB', 'US']",1.0,tt3565344,7.2,166288.0,2010
1274,ts35563,Supergirl,SHOW,2015,TV-14,42,scifi,['US'],6.0,tt4016454,6.2,121939.0,2010
1274,ts35563,Supergirl,SHOW,2015,TV-14,42,drama,['US'],6.0,tt4016454,6.2,121939.0,2010
1274,ts35563,Supergirl,SHOW,2015,TV-14,42,action,['US'],6.0,tt4016454,6.2,121939.0,2010
1275,ts36129,Crazy Ex-Girlfriend,SHOW,2015,TV-14,42,comedy,['US'],4.0,tt4094300,7.8,19738.0,2010
1276,tm233425,A Silent Voice: The Movie,MOVIE,2016,PG-13,130,romance,['JP'],1.0,tt5323662,8.1,75132.0,2010
1276,tm233425,A Silent Voice: The Movie,MOVIE,2016,PG-13,130,animation,['JP'],1.0,tt5323662,8.1,75132.0,2010
1276,tm233425,A Silent Voice: The Movie,MOVIE,2016,PG-13,130,drama,['JP'],1.0,tt5323662,8.1,75132.0,2010
1276,tm233425,A Silent Voice: The Movie,MOVIE,2016,PG-13,130,family,['JP'],1.0,tt5323662,8.1,75132.0,2010
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,war,"['GB', 'IT']",3.0,tt5057130,7.9,18575.0,2010
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,drama,"['GB', 'IT']",3.0,tt5057130,7.9,18575.0,2010
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,history,"['GB', 'IT']",3.0,tt5057130,7.9,18575.0,2010
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,romance,"['GB', 'IT']",3.0,tt5057130,7.9,18575.0,2010
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,thriller,"['GB', 'IT']",3.0,tt5057130,7.9,18575.0,2010
1277,ts42077,Medici: Masters of Florence,SHOW,2016,TV-14,54,european,"['GB', 'IT']",3.0,tt5057130,7.9,18575.0,2010
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,animation,['GB'],5.0,tt4148744,5.4,1214.0,2010
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,family,['GB'],5.0,tt4148744,5.4,1214.0,2010
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,fantasy,['GB'],5.0,tt4148744,5.4,1214.0,2010
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,scifi,['GB'],5.0,tt4148744,5.4,1214.0,2010
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,action,['GB'],5.0,tt4148744,5.4,1214.0,2010
1278,ts42687,PJ Masks,SHOW,2015,TV-G,15,european,['GB'],5.0,tt4148744,5.4,1214.0,2010
1279,ts38734,Marcella,SHOW,2016,TV-MA,45,crime,['GB'],3.0,tt5269594,7.4,30373.0,2010
1279,ts38734,Marcella,SHOW,2016,TV-MA,45,drama,['GB'],3.0,tt5269594,7.4,30373.0,2010
1279,ts38734,Marcella,SHOW,2016,TV-MA,45,european,['GB'],3.0,tt5269594,7.4,30373.0,2010
1280,tm143984,London Has Fallen,MOVIE,2016,R,99,thriller,"['BG', 'GB', 'US']",1.0,tt3300542,5.9,155997.0,2010
1280,tm143984,London Has Fallen,MOVIE,2016,R,99,crime,"['BG', 'GB', 'US']",1.0,tt3300542,5.9,155997.0,2010
